City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,santa maria,-29.6842,-53.8069,15.61,100,100,2.06,BR,1690329637
314,khilok,51.3674,110.4676,16.4,89,54,1.0,RU,1690329663
315,jinchang,38.4953,102.1739,26.11,31,100,6.26,CN,1690329663
316,frontera,26.9333,-101.45,36.61,29,2,2.68,MX,1690329663
317,vilyuysk,63.7553,121.6247,19.58,43,58,3.47,RU,1690329664
318,guerrero negro,27.9769,-114.0611,23.93,64,59,7.94,MX,1690329664
319,zhezqazghan,47.7833,67.7667,24.75,31,58,3.86,KZ,1690329664
320,champerico,14.3,-91.9167,34.3,70,56,3.45,GT,1690329664
321,kununurra,-15.7667,128.7333,18.99,45,71,1.54,AU,1690329481
322,chanika,-5.4167,38.0167,15.82,98,29,1.28,TZ,1690329665
323,yaren,-0.5472,166.916,27.81,78,100,6.61,NR,1690329665
324,cafayate,-26.073,-65.9761,14.39,39,8,0.58,AR,1690329665
325,torghay,49.6339,63.4981,26.61,36,100,6.23,KZ,1690329666
326,magadan,59.5667,150.8,21.41,80,57,2.17,RU,1690329666
327,bonthe,7.5264,-12.505,24.42,91,100,1.02,SL,1690329666
328,bonny,4.4522,7.1681,25.78,87,98,3.2,NG,1690329666
329,sibut,5.718,19.0739,21.44,96,100,1.17,CF,1690329666
330,linxia chengguanzhen,35.6003,103.2064,19.94,60,97,1.11,CN,1690329667
331,leava,-14.3,-178.1667,26.11,75,98,8.03,WF,1690329667
332,cerro largo,-28.1486,-54.7381,18.04,78,96,0.9,BR,1690329667
333,mili,6.0815,171.735,28.58,72,96,2.03,MH,1690329667
334,mugia,43.1041,-9.2179,15.51,85,96,2.51,ES,1690329667
335,nizhniy kuranakh,58.8353,125.4869,21.12,73,98,0.79,RU,1690329668
336,kamina,-8.7386,24.9906,17.48,44,20,1.69,CD,1690329668
337,pyt-yakh,60.7499,72.8582,15.05,98,50,1.84,RU,1690329668
338,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,64,20,2.0,RU,1690329668
339,qui nhon,13.7667,109.2333,27.3,78,83,3.38,VN,1690329668
340,chulym,55.0997,80.9572,15.54,80,2,2.56,RU,1690329669
341,tazacorte,28.629,-17.9293,22.54,85,75,5.14,ES,1690329669
342,busalla,44.5706,8.9454,21.85,75,0,1.03,IT,1690329669
343,al jawf,29.5,38.75,28.45,20,5,4.81,SA,1690329669
344,guadalupe y calvo,26.1,-106.9667,20.79,69,98,2.69,MX,1690329669
345,kourou,5.1552,-52.6478,26.03,90,75,2.8,GF,1690329669
346,tommot,58.9564,126.2925,21.65,81,97,0.85,RU,1690329670
347,pandan,14.0453,124.1694,28.96,78,100,7.44,PH,1690329670
348,birobidzhan,48.8,132.95,25.0,69,49,2.2,RU,1690329670
349,mont-tremblant,46.1949,-74.6264,20.77,83,51,0.0,CA,1690329629
350,sao jose do belmonte,-7.8614,-38.7597,21.19,66,15,4.5,BR,1690329670
351,santa maria del oro,25.9333,-105.3667,27.73,34,84,5.17,MX,1690329671
352,puerto aysen,-45.4,-72.7,4.85,100,100,1.15,CL,1690329671
353,asau,46.4333,26.4,17.51,75,89,1.11,RO,1690329671
354,xique xique,-10.8217,-42.7311,24.97,50,7,6.74,BR,1690329671
355,samus',56.7475,84.6992,17.22,96,43,1.97,RU,1690329671
356,pocoes,-14.5297,-40.3653,15.91,98,18,1.61,BR,1690329671
357,saint-pierre,-21.3393,55.4781,20.82,73,0,2.06,RE,1690329672
358,labytnangi,66.6572,66.4183,17.74,71,100,6.27,RU,1690329672
359,mulanje,-16.0316,35.5,13.94,92,3,2.14,MW,1690329672
360,sitka,57.0531,-135.33,18.15,73,85,2.9,US,1690329672
361,martapura,-3.4167,114.85,22.05,94,65,0.0,ID,1690329672
